Genotype,Balance,Replicate,Day,Chamber,NTR.start,NTR.end,step1.start,step1.end,step2.start,step2.end,step3.start,step3.end,step4.start,step4.end,step5.start,step5.end,step6.start,step6.end,step7.start,step7.end
WBDC.NULL,42,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,7,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,25,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,43,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.020,8,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.020,26,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.020,44,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.172,9,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.172,27,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.172,45,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.Rasmussen,10,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.Rasmussen,28,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.Rasmussen,46,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.336,11,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.336,29,2,1,2,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.336,47,3,1,3,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
WBDC.NULL,12,1,1,1,4/11/17 20:30,4/12/17 06:00,4/12/17 07:20,4/12/17 08:04,4/12/17 08:20,4/12/17 09:04,4/12/17 09:45,4/12/17 10:29,4/12/17 10:45,4/12/17 11:29,4/12/17 11:45,4/12/17 12:24,4/12/17 12:40,4/12/17 13:29,4/12/17 13:45,4/12/17 14:29
